DateTime,Day,Weekday,Hour,Rented Bike Count,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm)
2017-01-12 00:00:00,12,5,0,254,"-5,2",37,"2,2",2000,"-17,6",0,0,0
2017-01-12 01:00:00,12,5,1,204,"-5,5",38,"0,8",2000,"-17,6",0,0,0
2017-01-12 02:00:00,12,5,2,173,-6,39,1,2000,"-17,7",0,0,0
2017-01-12 03:00:00,12,5,3,107,"-6,2",40,"0,9",2000,"-17,6",0,0,0
2017-01-12 04:00:00,12,5,4,78,-6,36,"2,3",2000,"-18,6",0,0,0
2017-01-12 05:00:00,12,5,5,100,"-6,4",37,"1,5",2000,"-18,7",0,0,0
2017-01-12 06:00:00,12,5,6,181,"-6,6",35,"1,3",2000,"-19,5",0,0,0
2017-01-12 07:00:00,12,5,7,460,"-7,4",38,"0,9",2000,"-19,3",0,0,0
2017-01-12 08:00:00,12,5,8,930,"-7,6",37,"1,1",2000,"-19,8","0,01",0,0
2017-01-12 09:00:00,12,5,9,490,"-6,5",27,"0,5",1928,"-22,4","0,23",0,0
2017-01-12 10:00:00,12,5,10,339,"-3,5",24,"1,2",1996,"-21,2","0,65",0,0
2017-01-12 11:00:00,12,5,11,360,"-0,5",21,"1,3",1936,"-20,2","0,94",0,0
2017-01-12 12:00:00,12,5,12,449,"1,7",23,"1,4",2000,"-17,2","1,11",0,0
2017-01-12 13:00:00,12,5,13,451,"2,4",25,"1,6",2000,"-15,6","1,16",0,0
2017-01-12 14:00:00,12,5,14,447,3,26,2,2000,"-14,6","1,01",0,0
2017-01-12 15:00:00,12,5,15,463,"2,1",36,"3,2",2000,"-11,4","0,54",0,0
2017-01-12 16:00:00,12,5,16,484,"1,2",54,"4,2",793,-7,"0,24",0,0
2017-01-12 17:00:00,12,5,17,555,"0,8",58,"1,6",2000,"-6,5","0,08",0,0
2017-01-12 18:00:00,12,5,18,862,"0,6",66,"1,4",2000,-5,0,0,0
2017-01-12 19:00:00,12,5,19,600,0,77,"1,7",2000,"-3,5",0,0,0
2017-01-12 20:00:00,12,5,20,426,"-0,3",79,"1,5",1913,"-3,5",0,0,0
2017-01-12 21:00:00,12,5,21,405,"-0,8",81,"0,8",1687,"-3,6",0,0,0
2017-01-12 22:00:00,12,5,22,398,"-0,9",83,"1,5",1380,"-3,4",0,0,0
2017-01-12 23:00:00,12,5,23,323,"-1,3",84,1,1265,"-3,6",0,0,0
2017-02-12 00:00:00,12,1,0,328,"-1,8",87,"1,1",994,"-3,6",0,0,0
2017-02-12 01:00:00,12,1,1,308,"-2,2",86,"0,6",990,"-4,2",0,0,0
2017-02-12 02:00:00,12,1,2,262,"-2,9",86,"1,5",1256,"-4,9",0,0,0
2017-02-12 03:00:00,12,1,3,167,"-3,5",81,"2,2",1221,"-6,2",0,0,0
2017-02-12 04:00:00,12,1,4,89,"-3,8",79,2,1167,"-6,9",0,0,0
2017-02-12 05:00:00,12,1,5,79,-4,79,"1,5",1202,"-7,1",0,0,0
2017-02-12 06:00:00,12,1,6,70,"-4,3",82,"2,1",1178,"-6,9",0,0,0
2017-02-12 07:00:00,12,1,7,146,"-4,4",81,"2,5",1276,"-7,1",0,0,0
2017-02-12 08:00:00,12,1,8,219,"-4,2",79,"2,1",1436,"-7,3","0,01",0,0
2017-02-12 09:00:00,12,1,9,328,"-2,9",68,"1,6",1487,"-7,9","0,3",0,0
2017-02-12 10:00:00,12,1,10,334,"-0,4",57,"1,6",1309,"-7,8","0,8",0,0
2017-02-12 11:00:00,12,1,11,388,"1,9",49,"1,8",1406,"-7,7",1,0,0
2017-02-12 12:00:00,12,1,12,479,"4,3",41,"1,3",1666,"-7,8","1,09",0,0
2017-02-12 13:00:00,12,1,13,606,6,36,"1,8",1780,"-7,9","1,12",0,0
2017-02-12 14:00:00,12,1,14,611,"7,3",35,"1,3",1955,"-7,1","0,99",0,0
2017-02-12 15:00:00,12,1,15,589,"7,6",41,"2,3",1953,"-4,8","0,74",0,0
2017-02-12 16:00:00,12,1,16,618,"6,4",48,"2,6",1945,"-3,8","0,22",0,0
2017-02-12 17:00:00,12,1,17,572,6,51,"2,5",1891,"-3,3","0,06",0,0
2017-02-12 18:00:00,12,1,18,489,"5,5",53,"1,5",1697,"-3,3",0,0,0
2017-02-12 19:00:00,12,1,19,385,5,52,"2,3",1666,-4,0,0,0
2017-02-12 20:00:00,12,1,20,359,"4,6",51,"1,2",1585,"-4,6",0,0,0
2017-02-12 21:00:00,12,1,21,377,"4,1",55,"1,2",1448,"-4,1",0,0,0
2017-02-12 22:00:00,12,1,22,354,"3,5",54,"1,5",1446,"-4,9",0,0,0
2017-02-12 23:00:00,12,1,23,366,4,56,1,1352,-4,0,0,0
2017-03-12 00:00:00,12,1,0,342,4,58,"1,4",1296,"-3,5",0,0,0
2017-03-12 01:00:00,12,1,1,227,"3,9",69,"1,7",485,"-1,2",0,0,0
2017-03-12 02:00:00,12,1,2,228,"3,3",79,"1,4",830,0,0,0,0
2017-03-12 03:00:00,12,1,3,117,"3,4",71,"1,6",1011,"-1,3",0,"0,5",0
2017-03-12 04:00:00,12,1,4,76,"3,5",73,1,1060,"-0,8",0,0,0
2017-03-12 05:00:00,12,1,5,32,"3,9",75,"1,9",914,"-0,1",0,0,0
2017-03-12 06:00:00,12,1,6,13,"3,4",86,"2,5",278,"1,2",0,1,0
2017-03-12 07:00:00,12,1,7,22,"3,1",91,"1,2",129,"1,7",0,0,0
2017-03-12 08:00:00,12,1,8,85,"3,2",92,"1,8",244,2,0,0,0
2017-03-12 09:00:00,12,1,9,152,"3,5",91,"1,8",231,"2,1","0,02","2,5",0
2017-03-12 10:00:00,12,1,10,200,"4,4",89,"2,2",257,"2,7","0,24",0,0
2017-03-12 11:00:00,12,1,11,273,"5,1",87,"1,4",321,"3,1","0,25",0,0
2017-03-12 12:00:00,12,1,12,333,"5,8",85,"1,7",349,"3,4","0,43",0,0
2017-03-12 13:00:00,12,1,13,495,"6,8",81,"1,9",390,"3,7","0,6",0,0
2017-03-12 14:00:00,12,1,14,563,"7,6",76,"1,2",422,"3,6","0,69",0,0
2017-03-12 15:00:00,12,1,15,621,8,73,"1,6",433,"3,4","0,53",0,0
2017-03-12 16:00:00,12,1,16,598,"7,6",77,"1,6",399,"3,8","0,2",0,0
2017-03-12 17:00:00,12,1,17,545,"6,7",82,"1,5",358,"3,8","0,05",0,0
2017-03-12 18:00:00,12,1,18,443,6,84,"1,9",327,"3,4",0,0,0
2017-03-12 19:00:00,12,1,19,422,"5,7",85,"1,7",309,"3,3",0,0,0
2017-03-12 20:00:00,12,1,20,397,"5,2",87,"1,4",253,"3,2",0,0,0
2017-03-12 21:00:00,12,1,21,385,"4,7",87,"1,2",247,"2,7",0,0,0
2017-03-12 22:00:00,12,1,22,350,"4,3",89,"1,8",201,"2,6",0,0,0
2017-03-12 23:00:00,12,1,23,303,"3,9",90,"1,3",194,"2,4",0,0,0
2017-04-12 00:00:00,12,4,0,285,"4,2",88,"0,6",216,"2,3",0,0,0
2017-04-12 01:00:00,12,4,1,186,"4,3",87,"0,5",221,"2,3",0,0,0
2017-04-12 02:00:00,12,4,2,112,"4,4",87,"1,8",207,"2,4",0,0,0
2017-04-12 03:00:00,12,4,3,65,"3,6",85,"2,3",206,"1,3",0,0,0
2017-04-12 04:00:00,12,4,4,41,"2,8",89,"1,5",130,"1,1",0,0,0
2017-04-12 05:00:00,12,4,5,82,2,83,"2,7",253,"-0,5",0,0,0
2017-04-12 06:00:00,12,4,6,200,"1,2",76,"3,7",371,"-2,5",0,"0,1",0
2017-04-12 07:00:00,12,4,7,498,"0,2",68,"3,4",702,-5,0,0,0
2017-04-12 08:00:00,12,4,8,937,"-0,8",69,"3,5",954,"-5,7","0,01",0,0
2017-04-12 09:00:00,12,4,9,509,"-1,5",47,"4,2",1888,"-11,3","0,22",0,0
2017-04-12 10:00:00,12,4,10,311,"-1,1",40,"4,5",2000,-13,"0,64",0,0
2017-04-12 11:00:00,12,4,11,379,"-0,5",41,"4,1",1799,"-12,1","0,94",0,0
2017-04-12 12:00:00,12,4,12,393,"-0,3",38,"4,8",1823,"-12,9","1,11",0,0
2017-04-12 13:00:00,12,4,13,391,0,30,"5,4",1938,"-15,5","1,17",0,0
2017-04-12 14:00:00,12,4,14,338,"0,1",27,"4,5",2000,"-16,7","1,09",0,0
2017-04-12 15:00:00,12,4,15,341,"-0,1",25,"5,8",2000,"-17,8","0,88",0,0
2017-04-12 16:00:00,12,4,16,375,"-0,2",23,"4,7",2000,"-18,8","0,55",0,0
2017-04-12 17:00:00,12,4,17,515,"-1,3",26,"5,3",2000,"-18,3","0,18",0,0
